,Date,BTC_Close,BTC_Volume,S&P500_Close,50MA,100MA,RSI,macd,macdsignal,macdhist,20WMA,21WEMA,8WEMA,ETH_Close,Gold_Close,BTC_Tdy
261,2023-08-09,29765.492188,17570561357.0,4499.38,29957.034414139987,28512.66558598999,54.890440468154445,-130.34238406168515,-141.8984337606985,11.556049699013357,28534.900251149997,27766.04323547602,29257.774876742937,1855.807373,1959.9,29561.494141
262,2023-08-10,29561.494141,18379521213.0,4467.71,29981.71453133999,28527.364843809988,51.43588589835256,-102.68413299010717,-134.05557360658025,31.37144061647308,28551.000655728567,27790.306085550666,29268.431693032657,1854.297607,1950.6,29429.591797
263,2023-08-11,29429.591797,11865344789.0,4468.83,29969.760429779988,28534.855390689983,49.276423207484804,-90.3664978201814,-125.31775844930048,34.95126062911909,28558.82650673571,27812.458595164848,29274.086433522738,1850.753418,1948.9,29397.714844
264,2023-08-12,29397.714844,10195168197.0,4464.05,29959.46910165999,28538.769453189983,48.74381486023766,-82.22900215348272,-116.70000719013693,34.471005036654205,28572.429575935712,27833.880976905864,29278.424272486853,1847.12439,1946.6,29415.964844
265,2023-08-13,29415.964844,6194358008.0,4464.05,29933.879023539994,28544.451992249982,49.08312845008294,-73.4605482590232,-108.05211540391419,34.59156714489099,28586.15284602857,27855.260488623353,29283.250257452226,1848.889893,1946.6,29282.914063
266,2023-08-14,29282.914063,7329897180.0,4464.05,29908.56339853999,28541.937285219985,46.65807649345784,-76.36725724474309,-101.71514377207997,25.347886527336883,28595.357017349997,27874.55310449331,29283.238461155655,1839.280151,1946.6,29408.443359
267,2023-08-15,29408.443359,14013695304.0,4489.72,29887.127031339987,28546.975488339987,49.207828491623765,-67.76057819657944,-94.92423065697986,27.163652460400414,28611.5609794,27895.281351175832,29287.631615465983,1844.185791,1944.0,29170.347656
268,2023-08-16,29170.347656,12640195779.0,4437.86,29865.11136727999,28554.12917973999,44.830639022376076,-79.23864267797035,-91.78711306117796,12.548470383207615,28625.14824223571,27912.5119769167,29283.516388818054,1826.932739,1935.2,28701.779297
269,2023-08-17,28701.779297,14949271904.0,4404.33,29825.383671959993,28564.204238329985,37.71958282717024,-124.70709627816905,-98.37110970457618,-26.335986573592862,28627.672084314283,27923.17775151242,29263.104561034965,1805.659058,1928.3,26664.550781
270,2023-08-18,26664.550781,31120851211.0,4370.36,29756.94976569999,28554.261992229985,21.64439399134314,-321.42332078797335,-142.98155192125563,-178.44176886671772,28617.89342917857,27906.169278937927,29171.927235419702,1684.933472,1915.2,26049.556641
271,2023-08-19,26049.556641,24026236529.0,4369.71,29669.033867259994,28538.540000049983,19.01049805674916,-520.942136676993,-218.57366887240312,-302.36846780458984,28600.543945364283,27881.079918965792,29062.370372457608,1660.945068,1916.5,26096.205078
272,2023-08-20,26096.205078,10631443812.0,4369.71,29581.412929759994,28529.494160199985,19.807642394355625,-667.6023919099607,-308.37941347991466,-359.22297843004606,28584.00944480714,27856.95998868247,28958.29439721348,1669.471924,1916.5,26189.583984
273,2023-08-21,26189.583984,9036580420.0,4369.71,29493.40304693999,28523.340097699984,21.47381167310511,-767.4501162786983,-400.19355403967137,-367.2565622390269,28569.654269021426,27834.427880511084,28861.14666341652,1684.852051,1916.5,26124.140625
274,2023-08-22,26124.140625,13371557893.0,4399.77,29403.470468819993,28516.740722699986,21.142269162032427,-842.1530729404876,-488.58545781983463,-353.567615120653,28557.75369703571,27811.315890571746,28765.111363822958,1667.269043,1923.0,26031.65625
275,2023-08-23,26031.65625,14503820706.0,4387.55,29300.974804759993,28507.750898479986,20.656888516095776,-898.4615153627965,-570.560669328427,-327.90084603436947,28542.493457078566,27787.266435969424,28669.200658074784,1633.892578,1926.0,26431.640625
276,2023-08-24,26431.640625,16985265785.0,4436.01,29214.055976639997,28500.140371139987,28.32132405408554,-900.4313532678752,-636.5348061163166,-263.8965471515586,28530.019573149995,27768.94716825362,28590.689779721284,1679.274414,1948.1,26162.373047
277,2023-08-25,26162.373047,12871532023.0,4376.31,29127.020117259995,28491.397597699986,26.467735036218247,-913.1933823129621,-691.8665213556458,-221.32686095731628,28516.57837616428,27747.2367071556,28505.485683836327,1659.94458,1947.1,26047.667969
278,2023-08-26,26047.667969,12406045118.0,4405.71,29049.786718819993,28477.886250049985,25.696206192469063,-921.9356234586812,-737.8803417762529,-184.05528168242836,28503.162723264282,27724.26956204539,28419.246465771896,1652.935059,1939.9,26008.462891
279,2023-08-27,26008.462891,6034817316.0,4405.71,28963.110664139997,28469.64878911998,25.423425383075166,-921.4060394280204,-774.5854813066064,-146.82055812141402,28489.31035161428,27701.08298540964,28334.65756841148,1646.306763,1939.9,26089.693359
280,2023-08-28,26089.693359,6913768611.0,4405.71,28879.053710999993,28461.644433649984,27.149030645654047,-904.0108460657866,-800.4705542584425,-103.54029180734415,28473.286370028567,27679.30744991762,28255.88689439704,1657.513062,1939.9,26106.150391
281,2023-08-29,26106.150391,11002805166.0,4433.31,28797.752031319993,28451.41007817998,27.514966203696773,-878.7672037441989,-816.1298841555938,-62.63731958860512,28447.951869471424,27658.048570743056,28180.457543400655,1652.457397,1946.8,27727.392578
282,2023-08-30,27727.392578,29368391712.0,4497.63,28744.010468819994,28461.145742239984,52.71396335953402,-719.6451191589767,-796.8329311562704,77.1878119972937,28430.039969357138,27658.985651922205,28164.560527070807,1729.725708,1965.1,27297.265625
283,2023-08-31,27297.265625,16343655235.0,4514.87,28677.536757879992,28465.605625049982,47.95111188586666,-621.0878568980879,-761.683916304634,140.59605940654603,28409.741490007138,27654.097543450283,28134.12912699815,1705.112183,1973.0,25931.472656
284,2023-09-01,25931.472656,20181001451.0,4507.66,28588.333281319992,28452.66308597998,36.632745756736085,-645.7448500110877,-738.4961030459247,92.75125303483696,28377.830106078567,27630.81882875501,28056.842935033303,1645.63916,1965.9,25800.724609
285,2023-09-02,25800.724609,17202862221.0,4515.77,28474.826796939993,28447.322148479983,35.76248819593694,-668.1341349741379,-724.4237094315673,56.28957445742947,28344.366001721424,27606.087825785347,27977.68088850582,1628.491211,1967.1,25868.798828
286,2023-09-03,25868.798828,10100387473.0,4515.77,28385.521406319993,28441.248066449985,36.60689648442846,-672.6311113073098,-714.0651898067158,41.43407849940604,28312.582449821424,27582.610947436897,27903.685026733685,1637.025391,1967.1,25969.566406
287,2023-09-04,25969.566406,8962524523.0,4515.77,28298.99660161999,28433.750820349986,37.908030552438134,-660.4506322827838,-703.3422783019294,42.89164601914558,28281.541099371425,27560.81304822829,27835.82121547987,1636.117676,1967.1,25812.416016
288,2023-09-05,25812.416016,10680635106.0,4515.77,28210.262265679994,28423.191445349985,36.64483066059647,-655.9172324512292,-693.8572691317893,37.94003668056007,28255.593750042855,27537.186061306285,27764.824541813912,1629.655273,1967.1,25779.982422
289,2023-09-06,25779.982422,11094740040.0,4496.83,28122.944140679996,28400.134804729983,36.37542098910328,-647.477878458405,-684.5813909971124,37.10351253870738,28222.611104957137,27513.440066180527,27695.180958662546,1633.629395,1952.6,25753.236328
290,2023-09-07,25753.236328,12752705327.0,4465.48,28040.877617239996,28380.208320349986,36.13946437864375,-635.6207752394257,-674.7892678455751,39.16849260614936,28200.686509528565,27489.653529178086,27627.042550569124,1632.252319,1944.2,26240.195313
291,2023-09-08,26240.195313,11088307100.0,4451.14,27967.40304693999,28365.586777389984,43.3451883388294,-580.2417494098663,-655.8797641584333,75.638014748567,28186.359416899995,27472.768958689194,27578.38124398775,1647.598267,1942.5,25905.654297
